Auteur,Texte,Date
#Jovial_anniversaire,"#Jovial_anniversaire !à moi même
Que l'Eternel me regarde avec bonté Et qu'il me fasse grâce Que l'Eternel veille sur moi et m'accorde la paix",01/01/2018
#vascularbirthmark,"The 2024 VBF Annual Super Clinic begins! 
@roygeronemusmd @laserskinsurgeryny #vascularbirthmark #vascularbirthmarks #vascularbirthmarksfoundation",01/01/2018
RSL & Services Clubs Association,"VETERANS BENEVOLENT FUND | As a proud Platinum Supporter of the Saltwater Veterans Sailing Project for two years, it was incredible to share our initiative firsthand with CEO RSL & Services Clubs Association Thanks to the VBF’s generous support, we’ve been able to fund essential resources like our Highfields safety boat and manage the logistical costs of running our activities.",01/01/2018
#valleybiblefellowship,"Much love to VBF Church and the Worship Team for having our TC Choir participate in Sunday worship! Thanks to VBF Worship Leader Aly Uranday and KCTC Worship Leader JJ Lopez for collaborating on an amazing worship experience! We see you, JJ and Danielle Lopez!
#valleybiblefellowship #VBF #teenchallengeofsoutherncalifornia #worship #jesus #alyuranday #Godisgood",01/01/2018
abaa.org/vbf,"The Antiquarian Booksellers' Association of America will host a virtual book fair this week at abaa.org/vbf, as part of the celebrations marking our 75th anniversary.
ABAA 75th Anniversary Virtual Book Fair
September 25-27, 2024
This special online event will bring together booksellers, collectors, and enthusiasts worldwide, offering an opportunity to explore and purchase rare and antiquarian books, manuscripts, ephemera, and more, all from the comfort of home.
Details: https://www.abaa.org/.../abaa-75th-anniversary-book-fair",01/01/2018
#cuisinetraditionnelle,"Demain c’est burger en terrasse 
#cuisinetraditionnelle #VBF #terrasse",01/01/2018
birthmark.org/donate,"Update: I can’t add 
402 FREE services, not 648!
I double counted!!
402 FREE services!!!!!!
402 FREE services!!!!!!
Who provides 402  free services, to families in our birthmarked community, for free? 
We do! We just did! We are VBF !!!
On October 4-5, 2024, VBF provided 402 free services in New York City at our annual VBF Super Clinic.
We do! We just did! We are VBF!
The Vascular Birthmarks Foundation!
If you want to support a charity, that is truly changing lives for the better, consider donating to the Vascular Birthmarks foundation.
Donate at: 
birthmark.org/donate",01/01/2018
#InternationalYouthDay,"On August 12, 200 enthusiastic students gathered for a day filled with learning, creativity, and empowerment! The event was alive with excitement as participants engaged in a fun Canva workshop, diving into the digital world and showcasing their innovative ideas. It was a day of inspiration, celebrating the incredible potential of our youth to lead and shape a better future! 
.
.
.
.
.
.
#InternationalYouthDay #YouthPower #AccessProgram #VBF #KohsarUniversityMurree #Relopakistan",01/01/2018
https://citadel.bf/.../citadel-appel-a-candidature.../,"Le Centre d’excellence interdisciplinaire en intelligence artificielle pour le développement [CITADEL] lance un appel à candidature pour le recrutement d’étudiants en thèse pour des recherches en Intelligence Artificielle.
Savoir plus 
 https://citadel.bf/.../citadel-appel-a-candidature.../",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 / Université Virtuelle du Burkina Faso - UVBF
Les étudiants dont les noms figurent sur les listes ci-dessous peuvent passer à l'Espace Numérique Ouvert de Karpala, ce Vendredi 08 Décembre 2023 afin de récupérer leurs ordinateurs Marques LENOVO CELERON et LENOVO core i3.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
– Pour le retrait pour une tierce personne, vous devez disposer d’une procuration en bonne et due forme.
#assistance de dépôt : 65 02 29 27 (WhatsApp)
#Appel: 60 18 76 36/ 79 19 13 47 
Intégrez le groupe WhatsApp d'info 
ici 
https://chat.whatsapp.com/KLffYQtdVsSLxo8bSTLn0c
HMAB Service, votre meilleur service d'assistance en ligne !
@followers 
#programme_1_etudiant_1ordinateur",01/01/2018
https://forms.gle/ryUG6EvYk3eZ6zrVA,"L’Université Virtuelle du Burkina Faso (UV-BF) lance un appel à candidature pour un recrutement sur dossier de trente (30) auditeurs pour une formation de niveau Master en Fouilles de Données et Intelligence Artificielle, pour le compte de l’année académique 2020-2021.
Les candidatures se font en ligne à travers le lien suivant du 15 au 28 février 2021 : https://forms.gle/ryUG6EvYk3eZ6zrVA
Retrouvez l'intégralité de l'appel à candidature sur notre site web : https://uv.bf/appel-a-candidatures-master-fouilles-de.../",01/01/2018
ordinateur.campusfaso.bf," 𝗦𝗘𝗥𝗩𝗜𝗖𝗘 𝗔𝗣𝗥È𝗦-𝗩𝗘𝗡𝗧𝗘 / 𝟭 𝗘𝗧𝗨𝗗𝗜𝗔𝗡𝗧_ 𝟭 𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥
Avec le service après-vente (SAV), réparez vos ordinateurs en cas de problème en toute tranquillité chez votre fournisseur à prix étudiant.
Soumettez vos requêtes ici 
𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫.𝐜𝐚𝐦𝐩𝐮𝐬𝐟𝐚𝐬𝐨.𝐛𝐟 (suivez la procédure sur l'affiche)
𝐂𝐨𝐧𝐭𝐚𝐜𝐭𝐞 𝐬𝐞𝐫𝐯𝐢𝐜𝐞 𝐚𝐩𝐫è𝐬-𝐯𝐞𝐧𝐭𝐞.
𝐀𝐬𝐮𝐬 : (+𝟐𝟐𝟔) 𝟕𝟎 𝟒𝟔 𝟏𝟓 𝟐𝟒
𝐇𝐚𝐢𝐞𝐫 𝐞𝐭 𝐇𝐈: (+𝟐𝟐𝟔) 𝟔𝟑 𝟒𝟏 𝟕𝟐 𝟎𝟗
                     (+𝟐𝟐𝟔) 𝟔𝟖 𝟒𝟎 𝟗𝟒 𝟖𝟓
                     (+𝟐𝟐𝟔) 𝟔𝟒 𝟓𝟔 𝟖𝟓 𝟒𝟖
𝐇𝐏 𝐞𝐭 𝐋𝐄𝐍𝐎𝐕𝐎 : (+𝟐𝟐𝟔) 𝟔𝟏 𝟏𝟑 𝟏𝟑 𝟏𝟑
Les souscriptions continuent sur ordinateur.campusfaso.bf
Ministère Enseignement Supérieur, Recherche et Innovation 
#BurkinaFaso #campusfaso #ordinateur #etudiant #serviceapresvente #reparation",01/01/2018
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"L’Université Virtuelle du Burkina Faso (UV-BF) lance un appel à candidatures pour le recrutement sur dossier de trente (30) auditeurs pour une formation de niveau Master en Sciences de l’Education et de la Formation (MSEF), pour le compte de l’année académique 2021 – 2022.
Retrouvez plus d'informations sur notre site internet : https://uv.bf/appel-a-candidatures-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#HackToProtect,"Liste des admis au Premier Tour (présélection) de la compétition de piratage #HackToProtect
Sous la Présidence de l'Expert Youn Sanfo, le jury a délibéré ce soir a partir de 18h30. 
Rendez vous en ligne le 10 août 2022 pour la demi-finale et du 13 au 14 août 2022 pour la finale (24 heure chrono de hacking) au sein de l'Université Virtuelle du Burkina Faso.",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,Avec Université Virtuelle du Burkina Faso - UVBF – Je figure pour la première fois sur sa liste hebdomadaire d’interactions en faisant partie des ses meilleur(e)s contributeur(ice)s ! ,01/01/2018
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"Appel a candidatures pour le recrutement sur dossier de 40 étudiants pour la deuxième cohorte du Master Fouille de données et Intelligence Artificielle au titre de l'année académique 2022 - 2023.
Plus d'informations sur notre site internet : https://uv.bf/appel-a-candidatures-pour-le-recrutement.../
Université Virtuelle du Burki… En voir plus",01/01/2018
www.campusfaso.bf,"Inscrivez vous et déposer votre dossier d'orientation vers l'Université Virtuelle du Burkina Faso à travers la plateforme www.campusfaso.bf . Les inscriptions se poursuivent jusqu'au 30 Aout 2021 et s'adresse au Bacheliers des sessions 2020 et 2021 à condition que ceux remplissent les conditions d'admissibilité.
un recrutement complémentaire sur titre (nécessitant le paiement des frais de formation) sera fait en septembre.
En rappel, l'Université Virtuelle du Burkina Faso est une UNIVERSITE PUBLIQUE burkinabè, de ce fait tout étudiant orienté est exempté du paiement des frais de formation et devra juste s'acquitter des frais d'inscription qui sont de 16.500 FCFA.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥
L’ Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, ce Mardi 28 Novembre 2023 afin de récupérer leurs ordinateurs (Marques HP Celeron).
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Srce: UVBF
#assistance dépôt: 65 02 29 27 (WhatsApp)
#APPEL : 60 18 76 36/ 79 19 13 47 
Intégrez le groupe WhatsApp d'info:
https://chat.whatsapp.com/KLffYQtdVsSLxo8bSTLn0c",01/01/2018
Salifou Haroun Ouamdande," Annonce du départ du Président du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE-UV-BF) pour la Semaine Mondiale de la Francophonie Scientifique. 
 Chers membres du Club Scientifique,
C'est avec un immense plaisir que nous annonçons le départ de notre président, Salifou Haroun Ouamdande , pour représenter notre club à la 4ème Semaine Mondiale de la Francophonie Scientifique, qui se tiendra du #14 au #18 octobre 2024 à Toulouse. Cet événe… En voir plus",01/01/2018
#Lancement_1ère_session_2022_2023,"INFO
#Lancement_1ère_session_2022_2023#
Les dépôts se feront du 03 au 13 avril 2023.
Pour plus d'informations, bien vouloir consulter les communiqués ci-dessous.",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, du  𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐢𝟑.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
 2023.L,"Université Virtuelle du Burkina : l’Espace Numérique Ouvert (ENO) de  Karpala inauguré.
Placé sous la tutelle de l’Université Virtuelle du Burkina (UV-BF), l’Espace Numérique Ouvert de Karpala à Ouagadougou a été inauguré ce vendredi 18 août 2023.La cérémonie était  placée sous le Haut Patronage de son Excellence Monsieur le Premier Ministre, Maître Apollinaire Joachimson KYELEM de Tambela, du Parrainage de Monsieur le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), le Pr Adjima THIOMBIANO et du Co-parrainage de  Madame la Ministre de la Transition Digitale et des Postes, Dr Aminata ZERBO/SABANE. Plusieurs autres membres du gouvernement étaient également présents à cette cérémonie.
Le Président de l’Université Virtuelle du Burkina Faso, le Pr Jean Marie DIPAMA, a salué les efforts du gouvernement et de tous les partenaires qui ont œuvré pour l’aboutissement du projet de construction de l’Espace Numérique Ouvert (ENO),toute chose qui va permettre d’opérationnaliser l’UV-BF qui est la toute dernière née des Institutions d’Enseignement Supérieur publique du pays. Ce projet va à n’en pas douter contribuer à la formation à distance des étudiants et du même coup désengorger les autres universités classiques selon le Pr DIPAMA.
Quant au Ministre chargé de l’enseignement supérieur, le Pr Adjima THIOMBIANO, il a  également  traduit  sa gratitude aux autorités de la Transition et à l’ensemble des partenaires pour leurs contributions inestimables dont son département a bénéficié dans la concrétisation du projet de l’UV-BF.
En termes de vision, les ENO constituent une alternative crédible et pérenne à l’accès équitable à un enseignement supérieur de qualité et vont contribuer à la résorption du chevauchement des années académiques.
D’un effectif d’environ 2000 étudiants, l’UV-BF devra accueillir près de 10 000 nouveaux bacheliers à la rentrée prochaine 2023–2024 avec la création de nouvelles filières dont le Droit, les Lettres Modernes et les Sciences économiques et de Gestion.
Le Ministre de l’Enseignement Supérieur, de la Recherche et de l'Innovation , a toutefois, souligné  les défis qui s’imposent à cette vision.Il s’agit notamment de la dotation prioritaire de tous les étudiants de l’UV-BF en ordinateurs.A ce sujet, le département consent une subvention de 85%. A cela s’ajoute la connexion internet pour laquelle l’ARCEP a été sollicitée pour une intermédiation auprès des opérateurs de téléphonie mobile aux fins d’une gratuité de la connexion à leur profit.
En perspectives, le projet prévoit la construction du siège de l’Université Virtuelle du Burkina Faso  à Ouagadougou et de seize (16) ENO et leur équipement à travers les chefs-lieux des régions du pays à un coût global estimé à près de 80 milliards. 
DCRP- MESRI",01/01/2018
ordinateur.campusfaso.bf,"Programme 1 Étudiant, 1 Ordinateur / 𝟮𝗲𝗺𝗲 𝗘𝗱𝗶𝘁𝗶𝗼𝗻
Nous avons le plaisir de vous annoncer l'ouverture de la 2ème édition du programme 1 étudiant, 1ordinateur.
Postulez dès maintenant sur : ordinateur.campusfaso.bf
(tous les #ordinateurs sont subventionnés par l'état à 60%)
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://youtube.com/channel/UCKZY8DjkR6X9HC-Z7VOHErQ,"SESSION D'ASSISTANCE POUR LES ÉTUDIANTS N'AYANT PAS REÇU LEURS ACCÈS À LA PLATEFORME DE FORMATION.
L’Université Virtuelle du Burkina Faso organise une session d'assistance pour les étudiants n'ayant pas encore reçu leurs accès de connexion à la plateforme de formation.
Cette session se tiendra du Lundi 14 Novembre au Mercredi 16 Novembre 2022 de 08h00 à 12h00 au siège de l'Université Virtuelle du Burkina Faso (Sis à Ouaga 2000, non loin de BF1).
N.B: Seuls les étudiants n'ayant pas encore reçu leurs accès de connexion à la plateforme sont concernés par cette session d'assistance, toute autre requête sera traitée dans un autre cadre après cette période.
Par ailleurs, l'UV-BF rappelle aux étudiants que les vidéos tutorielles de formation à la prise en main de la plateforme sont disponibles sur la chaine youtube de l’université intitulée  UNIVERSITE VIRTUELLE BURKINA FASO.
Le lien d'accès direct est le suivant : https://youtube.com/channel/UCKZY8DjkR6X9HC-Z7VOHErQ
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://bit.ly/3zEZlMR,"APPEL A CANDIDATURE
Tu es une jeune femme étudiante au Burkina Faso et tu as un projet innovant de création d'entreprise pour booster le développement durable de notre cher pays : Rejoins le programme FEE en remplissant vite le formulaire suivant au plus tard le 27 juin 2022 : 
https://bit.ly/3zEZlMR
Le programme FEE est un parcours de 04 mois d'accompagnement en pré-incubation de 100 projets innovants portés par des jeunes femmes étudiantes des universités et écoles supérieures du Burkina Faso. Ce programme est financé par le Programme des Nations Unies pour le Développement (PNUD) BURKINA FASO à travers le projet COLIBRIS, et mis en œuvre par un consortium constitué des incubateurs Sira Labs Ouagadougou, Sira Labs Bobo-Dioulasso  et Incubuo . 
Pour plus d'information sur le programme, cliquez sur le lien suivant : www.sira-labs.com/v20/pnud-fee
Dépêchez-vous vite futures femmes entrepreneuses
#entrepreneuriat #ideation #diversite #genre #odd #sdg #etudiante #burkinafaso #pnudburkina",01/01/2018
#CITADEL,"Lancement officiel du Centre d’Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement [#CITADEL] : 
Nous vous donnons Rendez-vous ce 
 octobre 2021 à 
 14h 30 min au sein de l'Université Virtuelle du Burkina Faso sis à Ouaga 2000 (Boulevard Mohamed Kadhafi) pour le lancement officiel du 1er laboratoire d’innovation Burkinabé qui formera les leaders de demain en #intelligence_artificielle.
Vous avez la possibilité de participer à distance en cliquant ici 
 https://bit.ly/citadel-lancement 
Cette cérémonie est placée sous la présidence de Pr Alkassoum Maïga, Ministre de l’Enseignement Supérieur, de la Recherche Scientifique et de l’Innovation @mesrsi, et a pour Marraine, Mme Hadja Fatimata Ouattara/Sanon, Ministre de l’Economie Numérique, des Postes et de la Transformation Digitale.
Ne manquez pas cette occasion ! 
#ai4dev #uvbf #innovation #informatique #lwili
.........................................................................................................................................
[CITADEL], Nous construisons les Talents et les Capacités en IA pour le Burkina Faso et l'Afrique Francophone !",01/01/2018
#CITADEL,"Lancement officiel du Centre d’Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement [#CITADEL] : 
Nous vous donnons Rendez-vous ce 
 octobre 2021 à 
 14h 30 min au sein de l'Université Virtuelle du Burkina Faso sis à Ouaga 2000 (Boulevard Mohamed Kadhafi) pour le lancement officiel du 1er laboratoire d’innovation Burkinabé qui formera les leaders de demain en #intelligence_artificielle.
Vous avez la possibilité de participer à distance en cliquant ici 
 https://bit.ly/citadel-lancement 
Cette cérémonie est placée sous la présidence de Pr Alkassoum Maïga, Ministre de l’Enseignement Supérieur, de la Recherche Scientifique et de l’Innovation @mesrsi, et a pour Marraine, Mme Hadja Fatimata Ouattara/Sanon, Ministre de l’Economie Numérique, des Postes et de la Transformation Digitale.
#ai4dev #citadeluvbf #innovation #informatique
.........................................................................................................................................
[CITADEL], Nous construisons les Talents et les Capacités en IA pour le Burkina Faso et l'Afrique Francophone !",01/01/2018
https://youtu.be/_7hcTuD4z4k,"Université virtuelle du Burkina Faso, une offre de formation par le digital.
La digitalisation des cours et le e-learning sont désormais une réalité au Burkina Faso. Ils visent à résorber l'insuffisance des infrastructures des universités publiques qui ont un impact sur le bon déroulement des cours académiques. Le gouvernement a intégré les TIC dans le système de l'enseignement universitaire.
Voir la vidéo: https://youtu.be/_7hcTuD4z4k
#Com_Gouv_BF
#SIGBurkina
#BurkinaFaso
#Gouv_Actions
#UVBF",01/01/2018
https://youtu.be/_7hcTuD4z4k,"Université virtuelle du Burkina Faso, une offre de formation par le digital
La digitalisation des cours et le e-learning sont désormais une réalité au Burkina Faso. Ils visent à résorber l'insuffisance des infrastructures des universités publiques qui ont un impact sur le bon déroulement des cours académiques. Le gouvernement a intégré les TIC dans le système de l'enseignement universitaire.
Voir la vidéo: https://youtu.be/_7hcTuD4z4k
#Com_Gouv_BF
#SIGBurkina
#BurkinaFaso
#Gouv_Actions",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 
L’ Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu’ils peuvent passer à l’Espace Numérique Ouvert de Karpala, ce Mercredi 29 Novembre 2023 afin de récupérer leurs ordinateurs (Marques LENOVO Celeron et LENOVO Core i3).
La remise des ordinateurs se fait au sein de l’Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
– Pour le retrait pour une tierce personne, vous devez disposer d’une procuration en bonne et due forme.
#assistance  de dépôt : 65 02 29 27 (WhatsApp)
#APPEL : 60 18 76 36/ 79 19 13 47 
Intégrez le groupe WhatsApp d'info 
ici 
https://chat.whatsapp.com/KLffYQtdVsSLxo8bSTLn0c
HMAB Service , votre meilleur service d'assistance en ligne !
@followers @à la une",01/01/2018
"Ministère Enseignement Supérieur, Recherche et Innovation"," RÉSULTATS BOURSES NATIONALES
Les candidat(e)s ayant obtenu une moyenne supérieure ou égale à celles mentionnées dans le tableau ci-joint ont été présélectionné(e)s.
 Les candidats  présélectionnés sont invités à déposer leurs dossiers physiques au CIOSPB tous les jours ouvrables du 11 au 21 octobre 2022, de 9h à 12h.
Pièces exigées sont celles ayant servi pour les dépôts en ligne.
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université Nazi BONI 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
Ciospb Officiel 
CENOU Burkina 
#Burkina 
#bacheliers 
#Université 
#campusfaso
#bourse
#ciospb   
#bac2022 
#lwili",01/01/2018
https://uv.bf/resultats-du-test-de-recrutement.../,"Résultats du test de recrutement d'étudiants en 1ère année de Master en Sciences de l'Education et de la Formation (MSEF) à l'Université Virtuelle du Burkina Faso, au titre de l'année académique 2021 - 2022.
Plus d'informations sur notre site internet : https://uv.bf/resultats-du-test-de-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
www.campusfaso.bf,"Inscription pédagogique et chronogramme de la rentrée académique 2023-2024 des étudiants orientés à l’UV-BF.
Le Président de l’Université Virtuelle du Burkina Faso (UV-BF), porte a la connaissance des bacheliers orientés a l’UV-BF au titre de l’année académique 2023-2024 que les inscriptions pédagogiques sont ouvertes en ligne sur la plateforme CAMPUSFASO (www.campusfaso.bf) du mardi 03 au dimanche 15 Octobre 2023 inclus. 
Par ailleurs, il porte à leur connaissance, le chronogramme de la rentrée académique 2023-2024.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Campus,Les demandes d’orientation dans les instituts et universités sur la plateforme #Campus #Faso sont prévues du 1er au 15 août 2022.,01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"[
 𝗦𝗼𝗻𝘁 𝗻𝗼𝗺𝗶𝗻𝗲́𝘀 𝗱𝗮𝗻𝘀 𝗹𝗮 𝗰𝗮𝘁𝗲́𝗴𝗼𝗿𝗶𝗲 𝗹’𝘂𝗻𝗶𝘃𝗲𝗿𝘀𝗶𝘁𝗲́ 𝗹𝗮 𝗽𝗹𝘂𝘀 𝗱𝗶𝗴𝗶𝘁𝗮𝗹𝗲 ]
- Université Virtuelle du Burkina Faso - UVBF  
- EDE (Ecole en direct) 
- Université de l’Unité Africaine / IAM Burkina 
- ISIG International : Université Aube Nouvelle 
𝗩𝗼𝘁𝗲𝘇 𝗽𝗼𝘂𝗿 𝘃𝗼𝘁𝗿𝗲 𝗰𝗮𝗻𝗱𝗶𝗱𝗮𝘁 𝗲𝗻 𝗰𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗶𝗿𝗲. Mentionnez le nom de l'université !
NB: Une 𝗽𝗲𝗿𝘀𝗼𝗻𝗻𝗲 égale 𝟭 𝘃𝗼𝘁𝗲. Fin des votes #vendredi_à_18h 
Félicitations à tous les nominés et bonne chance pour la suite !",01/01/2018
#URGENT_URGENT," #URGENT_URGENT
Pour des besoins urgents d'information, l' Université Virtuelle du Burkina Faso - UVBF collecte des données relatives aux Numéro Orange que les étudiants utilisent pour souscrire aux forfaits internet .
Merci de renseigner le formulaire suivant avant ce mardi décembre 2023 à 8h00 délai de rigueur.… En voir plus",01/01/2018
https://www.campusfaso.bf/formations/candidature,"L’Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance du public qu’elle lance un appel à candidature, au titre de l’année académique 2022-2023, pour un recrutement complémentaire d’effectif sur dossier, d’étudiants en première année de Licence.
Cet appel à candidatures concerne : 
1. Pour le programme des sciences fondamentales :
- la filière Mathématiques avec les parcours suivants :
• Modélisation mathématique et calcul scientifique;
• le parcours Mathématiques -Informatique
- La filière Physique et Ingénierie de l’énergie, avec le parcours :
• Energie, Energies Renouvelables et Efficacité Energétique
- la filière Chimie, avec le parcours : 
• Chimie
- La filière Sciences de la Vie et de la Terre (SVT), avec le parcours :
• Hygiène et Sécurité alimentaire
2. Pour le programme des sciences du numérique :
- La filière Génie Logiciel, avec le parcours :
• Pure Developer
3. Pour le programme des sciences transversales
- La filière Géomatique Appliquée, avec le parcours :
• Système d’Information Géographique et Télédétection spatiale
Les dépôts de dossiers de candidature se font (en ligne) via la plateforme CAMPUS FASO à l’adresse : https://www.campusfaso.bf/formations/candidature du lundi 29 août au lundi 12 septembre 2022.
Retrouver toutes les informations complémentaires sur notre site web : https://uv.bf/appel-a-candidature-pour-le-recrutement.../",01/01/2018
#cours,"Fin de la première semaine de #cours d' #infographie dispensé aux étudiants en première année de Licence en Génie Logiciel ( Pure Développer) de l' Université Virtuelle du Burkina Faso - UVBF . Certains étudiants suivent le cours en présentiel et les autres participent en étant connectés à distance grâce à la visioconférence.
Travaux Dirigés :  
- Recherche graphique de #logotype 
- Notion de calques, création de tracés vectoriels, manipulation de typographie avec le logicie… En voir plus",01/01/2018
https://www.campusfaso.bf/formations/candidature,"L’Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance du public qu’elle lance un appel à candidature, au titre de l’année académique 2022-2023, pour un recrutement complémentaire d’effectif sur dossier, d’étudiants en première année de Licence.
Les dépôts de dossiers de candidature se font (en ligne) via la plateforme CAMPUS FASO à l’adresse : https://www.campusfaso.bf/formations/candidature du lundi 29 août au lundi 12 septembre 2022.
Retrouver toutes les informations complémentaires sur notre site web : https://uv.bf/appel-a-candidature-pour-le-recrutement.../",01/01/2018
https://uv.bf/retrait-des-ordinateurs-de-marque-haier-et.../,"L’Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent sur les listes ci-dessous qu’ils peuvent passer à l’Espace Numérique Ouvert de Karpala, ce Vendredi 1er Décembre 2023 afin de récupérer leurs ordinateurs (Marques HAIER et HI).
La remise des ordinateurs se fait au sein de l’Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
– Pour le retrait pour une tierce personne, vous devez disposer d’une procuration en bonne et due forme.
Consulter la liste ici : https://uv.bf/retrait-des-ordinateurs-de-marque-haier-et.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://forms.gle/kWvXBPfAvjj2VJf19," 𝗖𝗼𝗻𝗰𝗼𝘂𝗿𝘀 𝗶𝗻𝘁𝗲𝗿-𝗿𝗲́𝗴𝗶𝗼𝗻𝗮𝗹 ""𝗠𝗼𝗻 𝗶𝗱𝗲́𝗲, 𝗺𝗼𝗻 𝗲𝗻𝘁𝗿𝗲𝗽𝗿𝗶𝘀𝗲""
Il ne te reste que plus que 2 jours pour envoyer ta candidature
Tu es un.e étudiante et tu as une idée de projet d'entreprise 
?
Candidates ici  
 https://forms.gle/kWvXBPfAvjj2VJf19",01/01/2018
https://ee.kobotoolbox.org/x/viX3jN6z,"Formulaire d'inscription des candidats pour la session de formation a l'occasion de la semaine du numérique 2023. 
NB: Formation gratuite, Pas de prise en charge pour les participants.
https://ee.kobotoolbox.org/x/viX3jN6z",01/01/2018
https://uv.bf/inscription-administrative-et-pedagog,"Le Président de l’Université Virtuelle du Burkina Faso porte à la connaissance des étudiants admis en deuxième année de licence (L2) à l’issue des examens de la première session de Licence 1 (L1) et du recrutement complémentaire au titre de l’année académique 2021 – 2022 que les inscriptions administrative et pédagogique sont ouvertes en ligne du mardi 11 au vendredi 21 Janvier 2022.
Plus d'informations sur notre site web : https://uv.bf/inscription-administrative-et-pedagog… En voir plus",01/01/2018
